Experiment	CLAM-python-txt
Date	28/01/16 11:49
User	Danilo A. Zanin
Clam Mode	CAE
Pass Energy (eV)	100.0
Focus Mode	3
Focus Value	0.6
Integration Time (ms)	100.0
Loops	2
Channeltron Rear (V)	3600.0
Channeltron Front (V)	200.0
Comment	Header modified manually to use functions of nanonis

[DATA]
Energy [eV]	Counts	L1 [V]	L2 [V]	Ch_rear [V]	Ch_front [V]	H+ [V]	H- [V]	Retarder [V]
96.25	0	253.9075	253.9075	3703.75	103.75	22.6179245283	-15.1179245283	3.75
96.5	0	254.567	254.567	3703.5	103.5	22.3679245283	-15.3679245283	3.5
96.75	1	255.2265	255.2265	3703.25	103.25	22.1179245283	-15.6179245283	3.25
97.0	0	255.886	255.886	3703.0	103.0	21.8679245283	-15.8679245283	3.0
97.25	0	256.5455	256.5455	3702.75	102.75	21.6179245283	-16.1179245283	2.75
97.5	0	257.205	257.205	3702.5	102.5	21.3679245283	-16.3679245283	2.5
97.75	0	257.8645	257.8645	3702.25	102.25	21.1179245283	-16.6179245283	2.25
98.0	1	258.524	258.524	3702.0	102.0	20.8679245283	-16.8679245283	2.0
98.25	1	259.1835	259.1835	3701.75	101.75	20.6179245283	-17.1179245283	1.75
98.5	2	259.843	259.843	3701.5	101.5	20.3679245283	-17.3679245283	1.5
98.75	0	260.5025	260.5025	3701.25	101.25	20.1179245283	-17.6179245283	1.25
99.0	0	261.162	261.162	3701.0	101.0	19.8679245283	-17.8679245283	1.0
99.25	0	261.8215	261.8215	3700.75	100.75	19.6179245283	-18.1179245283	0.75
99.5	0	262.481	262.481	3700.5	100.5	19.3679245283	-18.3679245283	0.5
99.75	0	263.1405	263.1405	3700.25	100.25	19.1179245283	-18.6179245283	0.25
100.0	0	263.8	263.8	3700.0	100.0	18.8679245283	-18.8679245283	0.0
100.25	0	264.4595	264.4595	3699.75	99.75	18.6179245283	-19.1179245283	-0.25
100.5	0	265.119	265.119	3699.5	99.5	18.3679245283	-19.3679245283	-0.5
100.75	0	265.7785	265.7785	3699.25	99.25	18.1179245283	-19.6179245283	-0.75
101.0	0	266.438	266.438	3699.0	99.0	17.8679245283	-19.8679245283	-1.0
101.25	0	267.0975	267.0975	3698.75	98.75	17.6179245283	-20.1179245283	-1.25
101.5	0	267.757	267.757	3698.5	98.5	17.3679245283	-20.3679245283	-1.5
101.75	0	268.4165	268.4165	3698.25	98.25	17.1179245283	-20.6179245283	-1.75
102.0	0	269.076	269.076	3698.0	98.0	16.8679245283	-20.8679245283	-2.0
102.25	0	269.7355	269.7355	3697.75	97.75	16.6179245283	-21.1179245283	-2.25
102.5	1	270.395	270.395	3697.5	97.5	16.3679245283	-21.3679245283	-2.5
102.75	0	271.0545	271.0545	3697.25	97.25	16.1179245283	-21.6179245283	-2.75
103.0	0	271.714	271.714	3697.0	97.0	15.8679245283	-21.8679245283	-3.0
103.25	0	272.3735	272.3735	3696.75	96.75	15.6179245283	-22.1179245283	-3.25
103.5	0	273.033	273.033	3696.5	96.5	15.3679245283	-22.3679245283	-3.5
103.75	0	273.6925	273.6925	3696.25	96.25	15.1179245283	-22.6179245283	-3.75
104.0	0	274.352	274.352	3696.0	96.0	14.8679245283	-22.8679245283	-4.0
